,Analytics Desc,English,Hiragana,Kanji,Vocab Set,Example
,,preparation for a lesson,よしゅう,予習,N4,
,,to visit,たずねる,訪ねる,N4,
,,meeting room,かいぎしつ,会議室,N4,
,,to lead,つれる,連れる,N4,
,,government worker,こうむいん,公務員,N4,
,,to move,うごく,動く,N4,
,,some time ago,さっき,,N4,
,,underwear,したぎ,下着,N4,
,,impossible,むり,無理,N4,
,,with the exception of,いがい,以外,N4,
,,to give,くれる,,N4,
,,lonely,さびしい,寂しい,N4,
,,safety,あんぜん,安全,N4,
,,airport,くうこう,空港,N4,
,,congratulation,おいわい,お祝い,N4,
,,"to rear,to bring up",そだてる,育てる,N4,
,,international,こくさい,国際,N4,
,,mood,きぶん,気分,N4,
,,to compare,くらべる,比べる,N4,
,,back of the body,せなか,背中,N4,
,,no good,だめ,,N4,
,,to finish,すむ,済む,N4,
,,young lady,おじょうさん,お嬢さん,N4,
,,to worry,しんぱい・する,心配,N4,
,,to break or be folded,おれる,折れる,N4,
,,after this,これから,,N4,
,,to prepare,じゅんび・する,準備,N4,
,,to invite,しょうたい・する,招待,N4,
,,"traffic,transportation",こうつう,交通,N4,
,,to visit,よる,寄る,N4,
,,"straight,all of a sudden",すっと,,N4,
,,science,かがく,科学,N4,
,,baby,あかんぼう,赤ん坊,N4,
,,greatly,だいぶ,大分,N4,
,,owing to,おかげ,,N4,
,,grandmother,そぼ,祖母,N4,
,,high school,こうこう,高校,N4,
,,cake,ケーキ,,N4,
,,play,あそび,遊び,N4,
,,to wake,おこす,起す,N4,
,,to stop something,とめる,止める,N4,
,,office,じむしょ,事務所,N4,
,,groceries,しょくりょうひん,食料品,N4,
,,(polite) your house,おたく,お宅,N4,
,,"particularly,especially",とくに,特に,N4,
,,lake,みずうみ,湖,N4,
,,to depart,しゅっぱつ・する,出発,N4,
,,Africa,アフリカ,,N4,
,,less than,いか,以下,N4,
,,suitability,てきとう,適当,N4,
,,"to soak,to pickle",つける,漬ける,N4,
,,to choose,えらぶ,選ぶ,N4,
,,more and more,どんどん,,N4,
,,to change between buses or trains,のりかえる,乗り換える,N4,
,,dream,ゆめ,夢,N4,
,,to be discovered,みつかる,見つかる,N4,
,,not at all (used with a negative verb),ちっとも,,N4,
,,to grow cold,ひえる,冷える,N4,
,,woman,じょせい,女性,N4,
,,to break,こわす,壊す,N4,
,,(respectful) to be,おいでになる,,N4,
,,grandfather,そふ,祖父,N4,
,,blood,ち,血,N4,
,,soft,ソフト,,N4,
,,the end,おわり,終わり,N4,
,,zoo,どうぶつえん,動物園,N4,
,,"failure,mistake",しっぱい,失敗,N4,
,,surroundings,まわり,周り,N4,
,,to drive,うんてん・する,運転,N4,
,,city,し,市,N4,
,,to exceed,すぎる,過ぎる,N4,
,,to assist,てつだう,手伝う,N4,
,,to greet,あいさつ・する,,N4,
,,senior,せんぱい,先輩,N4,
,,hair,かみ,髪,N4,
,,to turn back,もどる,戻る,N4,
,,noon break,ひるやすみ,昼休み,N4,
,,explanation,せつめい,説明,N4,
,,to live,せいかつ・する,生活,N4,
,,both sides,りょうほう,両方,N4,
,,distant,とおく,遠く,N4,
,,to produce,せいさん・する,生産,N4,
,,to rise,あがる,上る,N4,
,,wall,かべ,壁,N4,
,,line,せん,線,N4,
,,to add a number,たす,足す,N4,
,,"strength,power",ちから,力,N4,
,,translation,ほんやく,翻訳,N4,
,,"future,prospects",しょうらい,将来,N4,
,,reason,りゆう,理由,N4,
,,"branch, twig",えだ,枝,N4,
,,character,じ,字,N4,
,,exhibition,てんらんかい,展覧会,N4,
,,"to plant,to grow",うえる,植える,N4,
,,"circumstances,convenience",つごう,都合,N4,
,,"to make noise,to be excited",さわぐ,騒ぐ,N4,
,,"last,end",さいご,最後,N4,
,,tennis,テニス,,N4,
,,"condition,health",ぐあい,具合,N4,
,,kindness,しんせつ,親切,N4,
,,(humble) wife,つま,妻,N4,
,,to be late,おくれる,遅れる,N4,
,,"to be fixed,to be repaired",なおる,直る,N4,
,,to stop,やむ,止む,N4,
,,regulations,きそく,規則,N4,
,,to gather,あつまる,集る,N4,
,,finger ring,ゆびわ,指輪,N4,
,,"mathematics,arithmetic",すうがく,数学,N4,
,,"to be cured,to heal",なおる,治る,N4,
,,history,れきし,歴史,N4,
,,"(humble) to go,to come",まいる,参る,N4,
,,stereo,ステレオ,,N4,
,,to do,おこなう,行う,N4,
,,closet,おしいれ,押し入れ,N4,
,,to sound,なる,鳴る,N4,
,,beautiful,うつくしい,美しい,N4,
,,pronunciation,はつおん,発音,N4,
,,opinion,いけん,意見,N4,
,,"to bite,to chew",かむ,噛む,N4,
,,to send,おくる,送る,N4,
,,to go through,とおる,通る,N4,
,,petrol,ガス,,N4,
,,air conditioning,れいぼう,冷房,N4,
,,to apologize,あやまる,謝る,N4,
,,to give,あげる,,N4,
,,"guest,customer",きゃく,客,N4,
,,"these days,nowadays",このごろ,,N4,
,,high school,こうとうがっこう,高等学校,N4,
,,"cause,source",げんいん,原因,N4,
,,absence,るす,留守,N4,
,,"firmly,steadily",しっかり,,N4,
,,return,かえり,帰り,N4,
,,on the way,とちゅう,途中,N4,
,,to get dirty,よごれる,汚れる,N4,
,,"shallow,superficial",あさい,浅い,N4,
,,wonderful,すばらしい,,N4,
,,"to get angry,to be angry",おこる,怒る,N4,
,,silk,きぬ,絹,N4,
,,fax,ファックス,,N4,
,,extremely,ずいぶん,,N4,
,,era,じだい,時代,N4,
,,"small, fine",こまかい,細かい,N4,
,,"woods,forester",はやし,林,N4,
,,to be attached,つく,付く,N4,
,,lodging,げしゅく,下宿,N4,
,,(respectful) to say,おっしゃる,,N4,
,,joy,たのしみ,楽しみ,N4,
,,forest,もり,森,N4,
,,report,レポート/リポート,,N4,
,,"an address,a residence",じゅうしょ,住所,N4,
,,to throw away,すてる,捨てる,N4,
,,to consent,しょうち・する,承知,N4,
,,hot water,ゆ,湯,N4,
,,announcer,アナウンサー,,N4,
,,to get wet,ぬれる,,N4,
,,Japanese straw mat,たたみ,畳,N4,
,,goods,しなもの,品物,N4,
,,response,こたえ,答,N4,
,,awful,ひどい,,N4,
,,to reach,とどける,届ける,N4,
,,trade,ぼうえき,貿易,N4,
,,to exchange,とりかえる,取り替える,N4,
,,to remember,おもいだす,思い出す,N4,
,,to notify,しらせる,知らせる,N4,
,,necessary,ひつよう,必要,N4,
,,tomorrow,あす,明日,N4,
,,to plan,けいかく・する,計画,N4,
,,"sound,note",おと,音,N4,
,,ship,ふね,舟,N4,
,,to separate,わかれる,別れる,N4,
,,lost article,わすれもの,忘れ物,N4,
,,expression of gratitude,おれい,お礼,N4,
,,within,うち,,N4,
,,part-time job,アルバイト,,N4,
,,section manager,かちょう,課長,N4,
,,"to laugh,to smile",わらう,笑う,N4,
,,suffix for familiar female person,ちゃん,,N4,
,,to win,かつ,勝つ,N4,
,,to be broken,こわれる,壊れる,N4,
,,cloud,くも,雲,N4,
,,completely,すっかり,,N4,
,,to commute,かよう,通う,N4,
,,I (used by males),ぼく,僕,N4,
,,male,だんせい,男性,N4,
,,(informal) yes,うん,,N4,
,,a glass pane,ガラス,,N4,
,,to be continued,つづく,続く,N4,
,,not entirely (used in a negative sentence),ぜんぜん,,N4,
,,utilization,りよう,利用,N4,
,,to stop,やめる,止める,N4,
,,to lose,まける,負ける,N4,
,,to go out to meet,むかえる,迎える,N4,
,,to be heard,きこえる,聞こえる,N4,
,,a feast,ごちそう,,N4,
,,"(humble) to say,to tell",もうしあげる,申し上げる,N4,
,,rubbish,ごみ,,N4,
,,to collect something,あつめる,集める,N4,
,,(polite) to give,さしあげる,差し上げる,N4,
,,to face,むかう,向かう,N4,
,,"slope,hill",さか,坂,N4,
,,to discover,みつける,見つける,N4,
,,to investigate,しらべる,調べる,N4,
,,judo,じゅうどう,柔道,N4,
,,"hindrance,intrusion",じゃま,,N4,
,,revision,ふくしゅう,復習,N4,
,,to break down,たおれる,倒れる,N4,
,,the world,せかい,世界,N4,
,,this way,こう,,N4,
,,population,じんこう,人口,N4,
,,"to get down,to descend",さがる,下る,N4,
,,the week after next,さらいしゅう,さ来週,N4,
,,to sleep,ねむる,眠る,N4,
,,frightening,こわい,怖い,N4,
,,hobby,しゅみ,趣味,N4,
,,to tidy up,かたづける,片付ける,N4,
,,to move house,ひっこす,引っ越す,N4,
,,different,べつ,別,N4,
,,"custom,manners",しゅうかん,習慣,N4,
,,bitter,にがい,苦い,N4,
,,outskirts,こうがい,郊外,N4,
,,a lie,うそ,,N4,
,,receipt,うけつけ,受付,N4,
,,"point,dot",てん,点,N4,
,,delicious,うまい,,N4,
,,register,レジ,,N4,
,,grass,くさ,草,N4,
,,heating,だんぼう,暖房,N4,
,,sad,かなしい,悲しい,N4,
,,to remain,のこる,残る,N4,
,,to build,たてる,建てる,N4,
,,reply,へんじ,返事,N4,
,,to begin,はじめる,始める,N4,
,,two storied,にかいだて,二階建て,N4,
,,thief,どろぼう,泥棒,N4,
,,a dance,おどり,踊り,N4,
,,disappointment,ざんねん,残念,N4,
,,Asia,アジア,,N4,
,,to hang something,かける,掛ける,N4,
,,to break or to fold,おる,折る,N4,
,,metropolitan,と,都,N4,
,,to become fat,ふとる,太る,N4,
,,arrangement,よてい,予定,N4,
,,sleeping in late,ねぼう,寝坊,N4,
,,petrol station,ガソリンスタンド,,N4,
,,water supply,すいどう,水道,N4,
,,shape,かたち,形,N4,
,,beard,ひげ,,N4,
,,to enter school or university,にゅうがく・する,入学,N4,
,,steam train,きしゃ,汽車,N4,
,,to look after,せわ・する,世話,N4,
,,part time,パート,,N4,
,,strange or funny,おかしい,,N4,
,,university student,だいがくせい,大学生,N4,
,,to become thin,やせる,痩せる,N4,
,,to change,かわる,変わる,N4,
,,"to paint,to plaster",ぬる,塗る,N4,
,,"as I thought,absolutely",やはり/やっぱり,,N4,
,,"scene,landscape",けしき,景色,N4,
,,in order to,ため,為,N4,
,,sightseeing,けんぶつ,見物,N4,
,,with utmost effort,いっしょうけんめい,一生懸命,N4,
,,hair or fur,け,毛,N4,
,,to change,かえる,変える,N4,
,,little while,しばらく,,N4,
,,to grow accustomed to,なれる,慣れる,N4,
,,screen,スクリーン,,N4,
,,within,いない,以内,N4,
,,to steal,ぬすむ,盗む,N4,
,,to be similar,にる,似る,N4,
,,to leave hospital,たいいん・する,退院,N4,
,,stone,いし,石,N4,
,,to weep,なく,泣く,N4,
,,"popularity,prosperous",さかん,盛ん,N4,
,,to be enough,たりる,足りる,N4,
,,auditorium,こうどう,講堂,N4,
,,"type,style",タイプ,,N4,
,,as much as possible,できるだけ,,N4,
,,considerably,なかなか,中々,N4,
,,polite,ていねい,丁寧,N4,
,,"complexity,complication",ふくざつ,複雑,N4,
,,"beginning,first",さいしょ,最初,N4,
,,(respectful) to give,くださる,,N4,
,,meeting,かいぎ,会議,N4,
,,kind,やさしい,優しい,N4,
,,elementary school,しょうがっこう,小学校,N4,
,,to have a meal,しょくじ・する,食事,N4,
,,really,そう,,N4,
,,island,しま,島,N4,
,,barber,とこや,,N4,
,,to escape,にげる,逃げる,N4,
,,limited express train (faster than an express train),とっきゅう,特急,N4,
,,countryside,いなか,田舎,N4,
,,to hurry,いそぐ,急ぐ,N4,
,,things to do,ようじ,用事,N4,
,,situation,ばあい,場合,N4,
,,to attend,しゅっせき・する,出席,N4,
,,introduction,しょうかい,紹介,N4,
,,"urgent, steep",きゅう,急,N4,
,,electric light,でんとう,電灯,N4,
,,accident,じこ,事故,N4,
,,word processor,ワープロ,,N4,
,,"drawer,drawing out",ひきだし,引き出し,N4,
,,to increase,ふえる,増える,N4,
,,literature,ぶんがく,文学,N4,
,,"daytime,during the day",ひるま,昼間,N4,
,,vehicle,のりもの,乗り物,N4,
,,to stand something up,たてる,立てる,N4,
,,to live,いきる,生きる,N4,
,,America,アメリカ,,N4,
,,to visit,うかがう,,N4,
,,festival,おまつり,お祭り,N4,
,,because of that,それで,,N4,
,,culture,ぶんか,文化,N4,
,,"enquiry,expression of sympathy,expression of concern",みまい,見舞い,N3,
,,"assistance,aid,support",えんじょ,援助,N3,
,,to be silent,だまる,黙る,N3,
,,religion,しゅうきょう,宗教,N3,
,,tent,テント,,N3,
,,"mark,objective,target",もくひょう,目標,N3,
,,sleep,すいみん,睡眠,N3,
,,"investigation,examination,inquiry,survey",ちょうさ,調査,N3,
,,"evening,night",よ,夜,N3,
,,"pollution,contamination",おせん,汚染,N3,
,,"nowadays,modern times,present-day",げんだい,現代,N3,
,,"plot of land,lot,soil",とち,土地,N3,
,,payment,しはらい,支払,N3,
,,"to shiver,to shake,to quake",ふるえる,震える,N3,
,,"produce (e.g. agricultural),crops",さくもつ,作物,N3,
,,"(1) to pull,to draw,to stretch,to drag,(2) to pull the ball (baseball)",ひっぱる,引っ張る,N3,
,,"unit,denomination,credit (in school)",たんい,単位,N3,
,,river,かわ,川,N3,
,,"free,no charge",むりょう,無料,N3,
,,"intention,purpose",いし,意思,N3,
,,"cavity,tooth decay,decayed tooth,caries",むしば,虫歯,N3,
,,"figure,shape,appearance",すがた,姿,N3,
,,"consent,acceptance,assent,admitting",しょうち,承知,N3,
,,"rest,break,recess,intermission",きゅうけい,休憩,N3,
,,"to append,to sum up,to add (up)",くわえる,加える,N3,
,,"injury (to animate object),hurt",けが,怪我,N3,
,,sisters,しまい,姉妹,N3,
,,"individual,private person,personal,private",こじん,個人,N3,
,,reading,よみ,読み,N3,
,,"huge,gigantic,enormous",きょだい,巨大,N3,
,,"to differ,to vary,to disagree",ことなる,異なる,N3,
,,"a species,a kind,a variety",いっしゅ,一種,N3,
,,"(1) string,cord,(2) pimp",ひも,紐,N3,
,,"drama,play",げき,劇,N3,
,,"to notice,to recognize,to become aware of",きづく,気付く,N3,
,,"advantageous,better,profitable,lucrative",ゆうり,有利,N3,
,,"quantity,amount,volume,portion (of food)",りょう,量,N3,
,,"title,subject,theme,topic",だい,題,N3,
,,"to turn towards,to point",むける,向ける,N3,
,,"be afraid,dread,dismay,terror",きょうふ,恐怖,N3,
,,"to sue (a person),to resort to,to appeal to",うったえる,訴える,N3,
,,"step,stair,flight of steps,grade,rank,level",だん,段,N3,
,,passable,か,可,N3,
,,"friend,companion,pal",とも,友,N3,
,,"in accordance with ~,following ~,~ Street,~ Avenue",とおり,通り,N3,
,,"to be idle,to neglect",なまける,怠ける,N3,
,,"quickly, immdiately, suddenly",きゅうに,急に,N3,
,,"dividing,part",ぶ,分,N3,
,,"business,office work",じむ,事務,N3,
,,"occupation,business",しょくぎょう,職業,N3,
,,"painter,artist",がか,画家,N3,
,,wings,つばさ,翼,N3,
,,"(abbr) demo,demonstration",デモ,,N3,
,,"to permit,to allow,to approve",ゆるす,許す,N3,
,,"bullet,shot,shell",たま,弾,N3,
,,"forever,for good,eternally,as long as one likes,indefinitely",いつまでも,,N3,
,,"pitiful,a pity",きのどく,気の毒,N3,
,,horizon,ちへいせん,地平線,N3,
,,"goblin,ghost,apparition,bugbear",へんか,変化,N3,
,,"cost,expense",ひよう,費用,N3,
,,"name,reputation",な,名,N3,
,,"go by the way,via",けいゆ,経由,N3,
,,"daughter,young lady,virgin,maiden,little girl",しょうじょ,少女,N3,
,,"(logical) true,regular",せい,正,N3,
,,"loss,disadvantage",そん,損,N3,
,,"sun,solar",たいよう,太陽,N3,
,,"feeling,sense,impression",かんじ,感じ,N3,
,,experiment,じっけん,実験,N3,
,,"festival,feast",まつり,祭,N3,
,,rice-plant,いね,稲,N3,
,,"(1) pipe,tube,(2) channels, official or otherwise",パイプ,,N3,
,,"word,vocabulary,(usually) single-character word",たんご,単語,N3,
,,"to feel,to sense,to experience",かんじる,感じる,N3,
,,"documents,official papers",しょるい,書類,N3,
,,to become,なる,成る,N3,
,,(human) life (i.e. conception to death),じんせい,人生,N3,
,,"(1) complete,completion,(2) perfection,accomplishment",かんせい,完成,N3,
,,"state,country,nation",こっか,国家,N3,
,,"to remove,to exclude,to except",のぞく,除く,N3,
,,"human being,man,person",にんげん,人間,N3,
,,"notice,attention,observation",ちゅうもく,注目,N3,
,,"hindrance,intrusion",じゃま,邪魔,N3,
,,"sometime,someday,one day",いつか,,N3,
,,"manufacture,production",せいぞう,製造,N3,
,,"practice,training",くんれん,訓練,N3,
,,desert,さばく,砂漠,N3,
,,"band (e.g. conduction, valence)",おび,帯,N3,
,,"sound asleep,fast asleep",ぐっすり,,N3,
,,"relation,connection,relevance",かんれん,関連,N3,
,,skiing,スキー,,N3,
,,reality,げんじつ,現実,N3,
,,seat,ざせき,座席,N3,
,,"use,service,role,position",やく,役,N3,
,,"subjugation,conquest",こくふく,克服,N3,
,,"free of charge,mere,sole,only,usual,common",ただ,唯,N3,
,,"muscle,string,line",すじ,筋,N3,
,,"speed,velocity,rate",そくど,速度,N3,
,,"claim,request,insistence,assertion",しゅちょう,主張,N3,
,,"at once,immediately,directly,in person",ただちに,直ちに,N3,
,,"trouble,difficulty,care,attention",めんどう,面倒,N3,
,,"to run to,to lead to,to communicate,to understand",つうじる,通じる,N3,
,,"casually,unexpectedly,accidentally,by chance",たまたま,偶々,N3,
,,"age,era,period,date",ねんだい,年代,N3,
,,"reverse,opposite",ぎゃく,逆,N3,
,,constitution,けんぽう,憲法,N3,
,,"terrible,dreadful,terrific,amazing,great",すごい,,N3,
,,"group,mass",しゅうだん,集団,N3,
,,"crime,fault,indiscretion",つみ,罪,N3,
,,(personal) bankruptcy,はさん,破産,N3,
,,"sorry,excuse me",（感）,すみません,N3,
,,"association (of ideas),suggestion",れんそう,連想,N3,
,,"to skip over,to omit",とばす,飛ばす,N3,
,,"salary,wages",きゅうりょう,給料,N3,
,,"(by) chance,unexpectedly,suddenly",ぐうぜん,偶然,N3,
,,"to dawn,to become daylight",あける,明ける,N3,
,,"last,final,closing",さいしゅう,最終,N3,
,,"manual labor,toil,work",ろうどう,労働,N3,
,,"in short,in brief,in other words",つまり,,N3,
,,analysis,ぶんせき,分析,N3,
,,"article,news story,report,account",きじ,記事,N3,
,,hip,こし,腰,N3,
,,"un,non,negative prefix",ぶ,不,N3,
,,"to entrust to another,to leave to",まかせる,任せる,N3,
,,plan,プラン,,N3,
,,"to live,to get along",くらす,暮らす,N3,
,,"to exert,to cause,to exercise",およぼす,及ぼす,N3,
,,"symptoms,condition",しょうじょう,症状,N3,
,,"to throw down,to beat,to bring down,to blow down",たおす,倒す,N3,
,,"removal,migration,movement",いどう,移動,N3,
,,"buttocks,bottom",しり,尻,N3,
,,"expectation,anticipation,hope",きたい,期待,N3,
,,"really,truly,entirely,completely",まったく,全く,N3,
,,(the) market (as a concept),いちば,市場,N3,
,,"grain,cereal,corn",こくもつ,穀物,N3,
,,"possible,practicable,feasible",かのう,可能,N3,
,,books,しょもつ,書物,N3,
,,"lamplight,light (in general),brightness",あかり,明かり,N3,
,,"to be full,to rise (tide),to mature,to expire",みちる,満ちる,N3,
,,"fairness,impartial,justice",こうへい,公平,N3,
,,to love,あいする,愛する,N3,
,,gun,じゅう,銃,N3,
,,"manners,courtesy,etiquette",れいぎ,礼儀,N3,
,,"understanding,comprehension",りかい,理解,N3,
,,"consideration,taking into account",こうりょ,考慮,N3,
,,"thinking,thought,ideas,intention",かんがえ,考え,N3,
,,"(1) token,label,(2) ticket,(3) charm",さつ,札,N3,
,,"results,record",せいせき,成績,N3,
,,"center,core,heart,pivot,emphasis,balance",ちゅうしん,中心,N3,
,,"trial,test",ためし,試し,N3,
,,if possible,できれば,,N3,
,,"sense,sensation",かんかく,感覚,N3,
,,clothes,いふく,衣服,N3,
,,"whole year,always,everyday",ねんじゅう,年中,N3,
,,"living,livelihood,subsistence,circumstances",くらし,暮らし,N3,
,,"difficulty,distress",こんなん,困難,N3,
,,"sign,signal",あいず,合図,N3,
,,"welcome,reception",かんげい,歓迎,N3,
,,horn,すみ,角,N3,
,,"one by one,each,one at a time",ひとりひとり,一人一人,N3,
,,"to pass,to spend,to go through,to tide over",すごす,過ごす,N3,
,,"to use,to make use of",もちいる,用いる,N3,
,,"to get tired of,to lose interest in,to have enough",あきる,飽きる,N3,
,,"wrong,bad,improper,unjustifiable,inadvisable",ふか,不可,N3,
,,Europe,ヨーロッパ,,N3,
,,sisters,（終わり）,しまい,N3,
,,"valuation,estimation,assessment,evaluation",ひょうか,評価,N3,
,,"resolution,resignation,readiness,preparedness",かくご,覚悟,N3,
,,"strangeness,abnormality,disorder",いじょう,異常,N3,
,,"high speed,high gear",こうそく,高速,N3,
,,"instant,time,moment",じこく,時刻,N3,
,,"clever,shrewd,bright,sharp,wise,intelligent",りこう,利口,N3,
,,bone,ほね,骨,N3,
,,long time period,ちょうき,長期,N3,
,,therefore,ですから,,N3,
,,"(1) draft (beer),(2) raw,unprocessed",なま,生,N3,
,,"suitable,fair,tolerable,proper",そうとう,相当,N3,
,,"defect,flaw,blemish,weak point",あら,粗,N3,
,,"all,whole,entire,complete,overall,pan",ぜん,全,N3,
,,"sharing with,participate in",ともに,共に,N3,
,,evening,ゆうべ,夕べ,N3,
,,rapid (e.g. progress),きゅうそく,急速,N3,
,,"learning,scholarship,erudition,knowledge",がく,学,N3,
,,"(1) on the other hand,(2) meanwhile,(3) only,simple,in turn",いっぽう,一方,N3,
,,"to go against,to oppose,to disobey,to defy",さからう,逆らう,N3,
,,"difference,discrepancy",ちがい,違い,N3,
,,but however,だが,だが,N3,
,,"helper,helpmeet,assistant,tutor",じょしゅ,助手,N3,
,,"to decrease (in size or number),to diminish,to abate",へる,減る,N3,
,,"saucepan,pot",なべ,鍋,N3,
,,"to give into custody,to entrust,to deposit",あずける,預ける,N3,
,,"-like,-looking,-looked",きみ,気味,N3,
,,"companion,company",つれ,連れ,N3,
,,"(1) wholly,entirely,completely,(2) not at all (with neg. verb)",ぜんぜん,全然,N3,
,,"entrance,admission,entering",にゅうじょう,入場,N3,
,,suicide,じさつ,自殺,N3,
,,"dust,dirt",ごみ,塵,N3,
,,"hope,wish,aspiration",きぼう,希望,N3,
,,oil,あぶら,油,N3,
,,"company,friendship,association,society,acquaintance",こうさい,交際,N3,
,,cheek (of face),ほほ,頬,N3,
,,"knee,lap",ひざ,膝,N3,
,,"to be sad,to mourn for,to regret",かなしむ,悲しむ,N3,
,,"report,paper",レポート,,N3,
,,"birth,birth-place",うまれ,生まれ,N3,
,,"to betray,to turn traitor to,to double-cross",うらぎる,裏切る,N3,
,,"general,liberal,universal,ordinary,average",いっぱん,一般,N3,
,,"rock,crag",いわ,岩,N3,
,,to get wet,ぬれる,濡れる,N3,
,,"to draw,to paint,to sketch,to depict,to describe",えがく,描く,N3,
,,four,し,四,N3,
,,"often,again and again,frequently",しばしば,,N3,
,,"ball,sphere,coin",たま,玉,N3,
,,"poor,needy",まずしい,貧しい,N3,
,,to awaken,さます,覚ます,N3,
,,"poor (at),weak (in),dislike (of)",にがて,苦手,N3,
,,"yet,still,more,besides",まだ,未だ,N3,
,,philosophy,てつがく,哲学,N3,
,,"congestion (e.g. traffic),delay,stagnation",じゅうたい,渋滞,N3,
,,"tedium,boredom",たいくつ,退屈,N3,
,,"(1) platform,(2) home",ホーム,,N3,
,,"scene,view,prospect,outlook",ながめ,眺め,N3,
,,Sunday,にちよう,日曜,N3,
,,"to unfasten,to remove",はずす,外す,N3,
,,"aviation,flying",こうくう,航空,N3,
,,national or state border,こっきょう,国境,N3,
,,amount of money,きんがく,金額,N3,
,,printing,いんさつ,印刷,N3,
,,expression of gratitude before meals,いただきます,,N3,
,,"walk,stroll",さんぽ,散歩,N3,
,,"(1) silver,silver coin,silver paint",ぎん,銀,N3,
,,"to condemn,to blame,to criticize",せめる,責める,N3,
,,"best,first,number one",いちばん,一番,N3,
,,"property,fortune,assets",ざいさん,財産,N3,
,,"portion,section,part",ぶぶん,部分,N3,
,,relative,しんせき,親戚,N3,
,,"destruction,extinction",ぜつめつ,絶滅,N3,
,,member,メンバー,,N3,
,,"money,cash",きんせん,金銭,N3,
,,"to stick,to paste",はる,張る,N3,
,,to receive,もらう,貰う,N3,
,,"independence (e.g. Ind. Day),self-support",どくりつ,独立,N3,
,,"wonderful,splendid,magnificent",すばらしい,素晴らしい,N3,
,,(female) you might say,まあ,,N3,
,,in the middle of,さいちゅう,最中,N3,
,,"mankind,humanity",じんるい,人類,N3,
,,"official,duty,person in charge",かかり,係,N3,
,,"sex,gender",せい,性,N3,
,,"noisy,loud,fussy",うるさい,,N3,
,,"origin,beginning",はじまり,始まり,N3,
,,"to recommend,to advise,to encourage,to offer (wine)",すすめる,勧める,N3,
,,no,ノー,,N3,
,,"study,learning",がくしゅう,学習,N3,
,,"ice,hail",こおり,氷,N3,
,,ink,インク,,N3,
,,"world,society",せけん,世間,N3,
,,"the other day,a few days ago",せんじつ,先日,N3,
,,"contract,compact,agreement",けいやく,契約,N3,
,,coin,こうか,硬貨,N3,
,,"consumption,expenditure",しょうひ,消費,N3,
,,"bottom,sole",そこ,底,N3,
,,issue (publications),はっこう,発行,N3,
,,moat,ほり,濠,N3,
,,tunnel,トンネル,,N3,
,,face of the earth,そっと,,N3,
,,"helping,serving",さかり,盛り,N3,
,,handsome,ハンサム,,N3,
,,"cause,reason,fault",せい,所為,N3,
,,"to tie,to bind,to link",むすぶ,結ぶ,N3,
,,element,ようそ,要素,N3,
,,"grave,tomb",はか,墓,N3,
,,"farmers,peasants",のうみん,農民,N3,
,,"calm,gentle,quiet",おだやか,穏やか,N3,
,,"motion,exercise",うんどう,運動,N3,
,,"determination,resolution",けっしん,決心,N3,
,,"approximately,about,some",やく,約,N3,
,,"to freeze,to be frozen over,to congeal",こおる,凍る,N3,
,,"to finish,to close,to do something completely",（終わる）,しまう,N3,
,,furniture,かぐ,家具,N3,
,,"proprietor,manager,barowner,master (e.g. arts, science)",マスター,,N3,
,,"to tie,to fasten,to connect,to transfer (phone call)",つなぐ,繋ぐ,N3,
,,"(school) subject,curriculum,course",かもく,科目,N3,
,,"good,goodness,right,virtue",ぜん,善,N3,
,,"(1) time,hour,(2) occasion,moment",とき,時,N3,
,,Monday,げつよう,月曜,N3,
,,"author,writer,novelist,artist",さっか,作家,N3,
,,"outing,going out",がいしゅつ,外出,N3,
,,"remnant,residue,remaining,left-over",のこり,残り,N3,
,,"embodiment,materialization",あらわれ,現れ,N3,
,,"funds,capital",しほん,資本,N3,
,,"to lose,to part with",うしなう,失う,N3,
,,"fashionable,fad,in vogue,prevailing",りゅうこう,流行,N3,
,,reading,どくしょ,読書,N3,
,,"seeing one off,farewell,escort",みおくり,見送り,N3,
,,"all,altogether,entirely,be just like,the splitting image of",そっくり,,N3,
,,"talent,ability",さいのう,才能,N3,
,,"tension,mental strain,nervousness",きんちょう,緊張,N3,
,,"acting,performance",えんぎ,演技,N3,
,,"language,word",ご,語,N3,
,,"clear up,clarify,define",めいかく,明確,N3,
,,"flour,meal,powder",こな,粉,N3,
,,mother,ははおや,母親,N3,
,,"therefore,consequently,in accordance with",したがって,したがって,N3,
,,"work,operation,manufacturing,fatigue duty",さぎょう,作業,N3,
,,"full,in plenty,ample",たっぷり,,N3,
,,"a habit (often a bad habit),peculiarity",くせ,癖,N3,
,,counter for chapters (of a book),か,課,N3,
,,raw food,せいぶつ,生物,N3,
,,"field,sphere,realm,division,branch",ぶんや,分野,N3,
,,"smoke,fumes",けむり,煙,N3,
,,"character,personality,person,man,personage,talented man",じんぶつ,人物,N3,
,,a patient,かんじゃ,患者,N3,
,,"inspection (e.g. customs, factory),examination",けんさ,検査,N3,
,,passport,パスポート,,N3,
,,"but,because,even,also,too",だって,,N3,
,,"forehead,brow",がく,額,N3,
,,"to let pass,to overlook,to continue",とおす,通す,N3,
,,"somehow,anyhow,one way or another",なんとか,何とか,N3,
,,"troubles,hardships",くろう,苦労,N3,
,,drama,ドラマ,,N3,
,,"very,much,greatly",おおいに,大いに,N3,
